261.04	54.12
258.76	67.11
254.4	92.72
250.31	117.78
246.49	142.27
243.44	162.73
240.58	182.74
237.9	202.31
235.4	221.42
233.1	239.99
231.45	254.13
229.95	267.83
228.62	281.02
227.42	293.78
226.28	306.28
225.49	314.95
224.66	323.61
223.8	332.24
222.91	340.56
222.35	345.49
221.8	350.11
221.26	354.34
220.73	358.09
220.22	361.31
219.59	364.77
218.95	367.79
218.27	370.71
217.53	373.71
216.74	376.72
215.89	379.64
214.99	382.4
213.53	386.26
211.91	389.82
210.12	393.01
208.14	395.7
206.44	397.42
204.69	398.69
202.98	399.49
201.48	399.88
200.23	400
196.54	399.47
194.17	398.46
191.72	396.84
189.32	394.63
187.02	391.91
184.85	388.76
182.82	385.24
180.8	381.13
178.87	376.64
177.11	372.09
175.5	367.54
174.64	364.84
173.72	361.7
172.7	357.97
171.59	353.7
170.42	348.96
169.21	343.85
167.04	334.06
164.97	323.83
163.11	313.53
161.44	303.15
159.9	292.62
158.46	281.87
156.58	266.97
154.72	251.45
152.9	235.36
151.12	218.79
149.4	201.8
147.76	184.44
146.21	166.71
144.75	148.62
143.05	125.19
141.55	101.18
140.25	76.64
139.17	51.57
138.96	45.88
